,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
65,5,6,0,18.6116227636302,19.0213749769187,0.21739971182592,-0.503833705172533,7,54.5454545454545,0.496,7,1,0,18.7081046308194,20.1670099737051,-0.566510252092858,0.027053805326465,7,36.3636363636364,0,0,9,Canoas,RJX,2,2014
66,6,8,1,18.7689563821331,18.9807814647314,-0.938893691433815,-0.446940445323375,7,45.4545454545455,-0.68,10,12,0,19.3343137798869,19.028425777208,-0.184534133218412,-0.21106413568,7,33.3333333333333,0,0,9,Sao Bernardo,Funvic,2,2014
67,9,7,1,18.9660126798462,19.7889395808319,-1.40028171400267,-0.541062403713766,7,40,0.5232,11,12,1,18.9816202180757,19.7732521681013,-0.206360185753581,-0.197868271465991,4,27.2727272727273,0,0,9,Volta Redonda,America Volei,2,2014
68,12,10,1,18.4001979352928,20.3505027441809,-1.61845773050317,-1.11098173717032,7,20,0,9,8,0,17.7437862912,19.9306841770667,-0.8336862208,-0.1312,4,40,0,1,9,JF Volei,Maringa,2,2014
69,2,2,1,20.4017636047477,17.0674794596362,1.39108322140868,1.72454962248275,4,81.8181818181818,0.2,4,3,0,19.5475553962667,18.5986217669973,0.17129306112,1.052096,7,63.6363636363636,0,0,9,Sada Cruzeiro,Brasil Volei Clube,2,2014
70,7,8,1,17.95502903296,19.8645473416533,-0.914112,-0.46694897664,3,45.4545454545455,0.6,2,3,0,19.8766937681594,18.6536866564766,1.25980639696714,0.947635597533474,5,83.3333333333333,0,1,12,Maringa,Sesi,2,2014
71,10,12,0,18.8174510239095,19.1227406217664,-0.99346887360512,-0.547627306574729,3,30,0.92,8,7,1,19.5061434772103,19.5644849979988,0.167150077028987,0.224543401110322,3,45.4545454545455,0,0,12,Funvic,Volta Redonda,2,2014
72,11,12,0,18.9186295077939,20.1519350678144,-0.685104571982822,-0.765088148602865,3,25,0.4,5,6,1,18.6892982109042,18.857099981535,-0.203066964138026,-0.354311160548557,3,58.3333333333333,0,1,12,America Volei,Canoas,2,2014
73,12,10,0,18.6401583482342,20.0404021953447,-1.49476618440254,-1.08878538973626,3,18.1818181818182,0.744,6,8,1,18.9151651057065,18.5346251717851,0.0424476437413,-0.245497566936381,3,50,0,0,12,JF Volei,Sao Bernardo,2,2014
74,2,2,1,20.5214108837981,16.9206502343756,1.71286657712695,1.9796396979862,3,83.3333333333333,-0.9876096,3,5,1,19.3604216947322,18.9035010049194,0.037466690939683,-0.137888917568769,5,61.5384615384615,0,1,12,Sada Cruzeiro,Minas,2,2014
75,9,1,0,18.6064837046556,19.9336079789641,-0.248022973686641,-0.653208201674287,4,33.3333333333333,-0.2,5,3,0,18.90471098368,19.0788974135979,-0.462965551104,0.2416768,4,58.3333333333333,0,1,13,RJX,Brasil Volei Clube,2,2014
76,8,7,0,19.2049147817683,19.4115879983991,-0.520225371202137,-0.06627993837681,4,41.6666666666667,-0.568,11,10,1,18.6121266785874,19.9323217562758,-0.471028311789007,-1.32203705209114,4,25,0,1,16,Volta Redonda,JF Volei,2,2014
77,5,6,1,19.1514385687233,18.0190133185613,0.373919769460736,0.437546428689579,4,61.5384615384615,-0.88,11,12,1,18.8139608191276,18.8981924974131,-0.238101845259783,-0.568851308544,4,36.3636363636364,0,0,16,Canoas,Funvic,2,2014
78,5,3,1,19.323768786944,18.6631179308783,-0.73152,0.2296275591168,3,61.5384615384615,-0.2,12,12,0,18.0682369395685,20.3215480542515,-1.21207051888229,-0.758294617172793,4,23.0769230769231,0,0,16,Brasil Volei Clube,America Volei,2,2014
79,4,5,1,18.8483373557857,18.7228008039355,0.394352459363348,0.229973352751746,4,64.2857142857143,0.0579456,9,1,0,18.2851869637244,20.1468863831713,-1.12256656133943,-0.178356955738828,3,30.7692307692308,0,0,16,Minas,RJX,2,2014
80,6,8,0,19.0321320845652,18.5277001374281,-0.351114953147052,-0.36604188500696,4,46.1538461538462,-0.4,7,8,0,18.114023226368,19.9916378733227,-0.773559181312,0.09504,4,41.6666666666667,0,0,16,Sao Bernardo,Maringa,2,2014
81,1,3,1,20.0013550145275,18.6729493251812,1.52459847238155,1.40784511757372,4,84.6153846153846,0.856677888,2,2,0,20.0171287070385,16.8965201875005,1.38371175838896,1.85374479515764,4,76.9230769230769,0,0,16,Sesi,Sada Cruzeiro,2,2014
82,11,12,0,18.7178353219688,19.3852206645972,-0.594775098884097,-0.790481476207827,3,33.3333333333333,0,7,8,0,18.2912185810944,20.0933102986581,-1.0188473450496,-0.323968,3,38.4615384615385,0,0,19,Funvic,Maringa,2,2014
83,6,8,1,19.3257056676522,18.6221601099425,0.119108037482359,0.107166491994432,6,50,-0.450944,9,7,0,19.4139318254146,20.0792703987192,-0.453023950701448,-0.020365279111743,6,38.4615384615385,0,1,22,Sao Bernardo,Volta Redonda,2,2014
84,11,10,1,19.4397013428699,19.9958574050206,-0.795812947522029,0.023177350568795,7,30.7692307692308,1.144,5,6,1,19.5878175216453,18.0818773215157,0.950037142951664,0.316551071561155,7,64.2857142857143,0,0,23,JF Volei,Canoas,2,2014
85,10,12,1,19.174268257575,19.3081765316777,0.124179920892723,-0.032385180966262,4,38.4615384615385,0.2,4,3,1,19.7923483628885,18.5304943447026,0.78370204729344,0.79334144,7,64.2857142857143,0,1,23,Funvic,Brasil Volei Clube,2,2014
86,11,1,0,17.2948162376462,20.317509106537,-0.798418378949313,-1.49805324907154,7,28.5714285714286,0.49344,1,3,1,19.641084011622,18.338359460145,1.32627609405897,1.15810847802678,7,85.7142857142857,0,0,23,RJX,Sesi,2,2014
87,5,6,0,19.7202540173163,18.7155018572126,0.899135815568589,0.360029714361331,4,60,-0.744,6,8,0,18.7405645341217,18.577728087954,-0.114266806404454,-0.596398053549105,5,46.6666666666667,0,1,27,Canoas,Sao Bernardo,2,2014
88,2,2,0,19.4137029656308,17.1572161500004,1.17029326170156,0.90696940671117,7,71.4285714285714,-0.220288,8,1,1,17.635852990117,20.2540072852296,-0.998442599257235,-0.742685564591063,4,33.3333333333333,0,0,27,Sada Cruzeiro,RJX,2,2014
89,7,7,1,19.2111454603317,19.3434163189754,-0.81618029696171,-0.162419160561159,5,42.8571428571429,0.6,9,8,0,18.4329748648755,20.2746482389265,-1.41507787603968,-0.8591744,7,35.7142857142857,0,1,27,Volta Redonda,Maringa,2,2014
90,3,3,1,20.0338786903108,18.4243954757621,0.014784,1.22696163783475,4,66.6666666666667,-0.6,10,10,1,19.8017610742959,20.0466859240165,0.418541880455036,-0.657629641672911,4,35.7142857142857,0,1,27,Brasil Volei Clube,JF Volei,2,2014
91,4,5,1,19.2786698846286,17.6449073098151,0.915481967490678,0.783978682201397,7,66.6666666666667,-0.72,11,12,0,18.93941460606,19.6465412253422,-0.625908144773009,-1.0550810468352,4,35.7142857142857,0,1,27,Minas,Funvic,2,2014
92,1,3,0,19.7128672092976,18.470687568116,1.41967877790524,0.861020875247178,4,80,-0.81312,12,12,0,18.0545895516548,20.5905717767346,-1.56965641510583,-1.20663569373823,7,21.4285714285714,0,0,27,Sesi,America Volei,2,2014
93,5,6,0,19.176203213853,19.1724014857701,0.119308652454871,-0.311976228510935,7,56.25,0.4,3,3,0,19.8771029522487,18.9895163806097,0.581569310267802,1.234673152,7,62.5,0,1,8,Canoas,Brasil Volei Clube,3,2014
94,11,1,0,17.5753490587603,20.4698724948504,-0.43873470315945,-1.39875407940579,7,31.25,0.55364352,4,5,0,18.8729359077029,17.7659258478521,0.227182945761118,0.089688865944985,7,62.5,0,1,8,RJX,Minas,3,2014
95,7,8,1,19.0463798919004,19.8697185911412,-1.1312896,-0.732062300831744,7,40,1.08,2,2,1,19.7976290391713,17.192439586667,1.32557552536894,1.28299583612611,7,73.3333333333333,1,1,9,Maringa,Sada Cruzeiro,3,2014
96,6,8,1,19.1924516272974,18.2621824703632,-0.104713570014113,0.508586554876437,7,50,1.78656,1,3,1,19.7702937674381,18.3265500544928,1.08881670019774,0.726486782421423,7,81.25,1,1,9,Sao Bernardo,Sesi,3,2014
97,3,3,1,19.5816823617989,18.5516131044878,-0.3881728,0.665255448214242,3,64.7058823529412,-0.52,5,6,0,18.7009625710824,19.017921188616,-0.449580982808748,-0.146759142751076,3,52.9411764705882,1,0,11,Brasil Volei Clube,Canoas,3,2014
98,4,5,1,19.6316820594956,18.146074011615,0.332385573992543,0.781746356608894,4,64.7058823529412,-1.042914816,11,1,0,17.9936125803415,20.9092313292136,-1.71900326352463,-1.19414845167285,4,29.4117647058824,1,0,12,Minas,RJX,3,2014
99,2,2,1,20.0381032313371,16.8206183360002,1.53623460936125,1.66046042029515,5,75,-1.464,7,8,0,18.303770580187,20.095774872913,-1.1856498406654,-0.28733952,5,37.5,1,0,14,Sada Cruzeiro,Maringa,3,2014
100,1,3,1,19.3762350139505,18.1012400435942,1.53574302232419,1.07105336015819,6,82.3529411764706,-1.629248,6,8,0,18.7939613018379,18.1697459762906,0.206869243901149,0.122881557160716,6,47.0588235294118,1,0,15,Sesi,Sao Bernardo,3,2014
101,4,5,1,19.8553456475965,18.266859209292,0.665908459194034,1.02539708528712,7,66.6666666666667,0.59008768,2,2,1,19.9804825850696,16.9564946688002,1.72836833623612,1.62639666890089,7,76.4705882352941,2,1,23,Minas,Sada Cruzeiro,3,2014
102,3,3,1,20.1653458894391,19.1912904835902,0.08946176,0.932204358571393,7,66.6666666666667,0.2,1,3,1,19.5509880111604,17.6309920348754,1.25684268812656,0.781189425937139,7,83.3333333333333,2,1,26,Brasil Volei Clube,Sesi,3,2014
103,2,2,1,20.1843860680557,16.5651957350402,1.628987687489,1.9826946689889,6,77.7777777777778,-1.072070144,4,5,0,18.8842765180772,18.8134873674336,0.220317668229692,0.671751092755988,6,63.1578947368421,2,0,29,Sada Cruzeiro,Minas,3,2014
104,1,3,1,20.1407904089283,18.2547936279003,1.62859441785935,1.40547415050124,7,84.2105263157895,0.4853423104,2,2,1,20.3475088544446,16.5854899213655,2.18615573519112,1.90111733512071,7,78.9473684210526,3,1,13,Sesi,Sada Cruzeiro,4,2014
