Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
12,2,2011,Kedzierzyn-Kozle,Belchatow,22.46515989,24.22415133,21.35132907,20.06792024,4,1,2,1,1,1,0.738508336,2.318894981,-0.017833779,1.469231616,6,7,-0.36,0,60,95,0
12,2,2011,Rzeszow,Bydgoszcz,23.48756434,21.87707597,21.44781053,23.67889462,2,6,4,6,0,0,0.856746926,-1.27563679,1.989529395,-1.241588838,7,7,0.08,0,75,40,1
12,2,2011,Wielun,Jastrzebski,21.43719724,21.58647585,21.94643248,21.86007195,9,7,8,3,1,0,0.014645437,-0.708207444,-0.534129152,-0.118306304,5,7,-0.08,0,30,35,0
12,2,2011,Kielce,Olsztyn,21.04387562,21.12844898,22.53731724,23.07625654,8,10,8,7,1,0,-0.678128582,-1.389725332,-0.560281293,-1.760798413,7,5,0.92,0,30,20,0
16,2,2011,Rzeszow,Kedzierzyn-Kozle,23.85671813,21.90546124,21.49158176,22.28106326,2,4,4,2,1,0,1.285397541,-0.009193331,2.191623516,1.202357965,4,4,0.36,0,76.19047619,57.14285714,1
16,2,2011,Belchatow,AZS Czestochowa,24.57932107,21.08588363,19.98766952,21.89934592,1,3,1,5,1,1,2.455115985,0.484952668,2.370209198,0.672118559,4,5,0.88,0,95.23809524,66.66666667,1
17,2,2011,Bydgoszcz,Verva Warszawa,21.83499411,21.44888869,24.00978236,21.82599769,6,5,6,10,0,0,-1.620509432,-0.495682597,-0.477168947,-1.022065398,5,6,-0.92,0,38.0952381,47.61904762,0
19,2,2011,Belchatow,Verva Warszawa,24.41345685,22.22577762,20.04013562,21.72746482,1,5,1,10,1,1,2.364092788,0.203453922,2.296167358,-0.217652318,3,2,0.88,0,95.45454545,50,1
19,2,2011,Olsztyn,Jastrzebski,21.90275919,21.81918068,22.26100523,21.38805756,10,7,7,3,1,1,-0.511780266,-0.166565955,-0.87581911,0.305354957,7,7,-0.616,0,23.80952381,38.0952381,0
19,2,2011,Kedzierzyn-Kozle,Bydgoszcz,21.80436899,21.73466195,22.38485061,24.27449255,4,7,2,6,0,0,-0.207354665,-1.896407545,-0.614267023,-1.593271071,3,2,0.76,0,54.54545455,36.36363636,1
19,2,2011,AZS Czestochowa,Rzeszow,20.9187069,23.64537451,22.26947673,21.47326541,3,2,5,4,0,1,-0.012037866,1.228318032,0.29201623,-0.065977446,3,3,-0.28,0,63.63636364,77.27272727,0
19,2,2011,Wielun,Kielce,21.04975779,20.63510049,22.10714598,23.0298538,9,8,8,8,0,0,-0.388283651,-1.142502866,-0.827303322,-0.826036941,7,7,0.936,0,28.57142857,28.57142857,0
25,2,2011,Kielce,Jastrzebski,21.2580804,22.55534455,22.67388304,21.16044605,8,6,8,3,1,1,-0.514002292,0.266747236,-1.048225034,0.644283965,6,6,0.136,0,31.81818182,40.90909091,1
26,2,2011,Bydgoszcz,Belchatow,21.05439623,24.53076548,24.41959404,20.03210849,7,1,6,1,0,1,-2.117126036,2.49127423,-0.981735158,1.775385293,7,7,-1.304,0,34.7826087,95.65217391,0
26,2,2011,Wielun,Olsztyn,21.08980623,21.57220735,22.43571678,22.90880419,9,10,8,7,0,0,-0.71062692,-0.809424213,-1.061842657,-0.80863873,7,7,-0.216,0,27.27272727,22.72727273,1
4,3,2011,Jastrzebski,Wielun,22.64427564,21.35184498,21.9950235,22.50857343,6,9,3,8,0,1,-0.386602211,-0.368501536,-0.98056022,-0.254694257,7,6,0.464,0,39.13043478,30.43478261,1
